,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5
0,Cleveland Browns  Browns,0,16,0,0.0,234,410,-176,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0.0,0 - 12 - 0,0.0,0 - 4 - 0,16L,0 - 5 - 0
1,New York Giants  Giants,3,13,0,0.188,246,388,-142,2 - 6 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,1 - 11 - 0,0.083,2 - 2 - 0,1W,1 - 4 - 0
2,Houston Texans  Texans,4,12,0,0.25,338,436,-98,3 - 5 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,1 - 3 - 0,6L,0 - 5 - 0
3,Indianapolis Colts  Colts,4,12,0,0.25,263,404,-141,3 - 5 - 0,1 - 7 - 0,2 - 4 - 0,0.33299999999999996,3 - 9 - 0,0.25,1 - 3 - 0,1W,1 - 4 - 0
4,Chicago Bears  Bears,5,11,0,0.313,264,320,-56,3 - 5 - 0,2 - 6 - 0,0 - 6 - 0,0.0,1 - 11 - 0,0.083,4 - 0 - 0,1L,2 - 3 - 0
5,Denver Broncos  Broncos,5,11,0,0.313,289,382,-93,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,2L,2 - 3 - 0
6,New York Jets  Jets,5,11,0,0.313,298,382,-84,4 - 4 - 0,1 - 7 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,0 - 4 - 0,4L,1 - 4 - 0
7,Tampa Bay Buccaneers  Buccaneers,5,11,0,0.313,335,382,-47,4 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,2 - 2 - 0,1W,1 - 4 - 0
8,Miami Dolphins  Dolphins,6,10,0,0.375,281,393,-112,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,1 - 3 - 0,3L,2 - 3 - 0
9,Oakland Raiders  Raiders,6,10,0,0.375,301,373,-72,4 - 4 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,1 - 3 - 0,4L,1 - 4 - 0
10,San Francisco 49ers  49ers,6,10,0,0.375,331,383,-52,3 - 5 - 0,3 - 5 - 0,1 - 5 - 0,0.16699999999999998,3 - 9 - 0,0.25,3 - 1 - 0,5W,5 - 0 - 0
11,Cincinnati Bengals  Bengals,7,9,0,0.43799999999999994,290,349,-59,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,2W,2 - 3 - 0
12,Green Bay Packers  Packers,7,9,0,0.43799999999999994,320,384,-64,4 - 4 - 0,3 - 5 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,3L,2 - 3 - 0
13,Washington Redskins  Redskins,7,9,0,0.43799999999999994,342,388,-46,5 - 3 - 0,2 - 6 - 0,1 - 5 - 0,0.16699999999999998,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,1L,2 - 3 - 0
14,Arizona Cardinals  Cardinals,8,8,0,0.5,295,361,-66,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,3 - 1 - 0,2W,3 - 2 - 0
15,Baltimore Ravens  Ravens,9,7,0,0.563,395,303,92,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1L,3 - 2 - 0
16,Buffalo Bills  x  Bills  x,9,7,0,0.563,302,359,-57,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
17,Dallas Cowboys  Cowboys,9,7,0,0.563,354,332,22,3 - 5 - 0,6 - 2 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,1W,4 - 1 - 0
18,Detroit Lions  Lions,9,7,0,0.563,410,376,34,4 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,3 - 2 - 0
19,Los Angeles Chargers  Chargers,9,7,0,0.563,355,272,83,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,3 - 1 - 0,2W,4 - 1 - 0
20,Seattle Seahawks  Seahawks,9,7,0,0.563,366,332,34,4 - 4 - 0,5 - 3 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 2 - 0,1L,2 - 3 - 0
21,Tennessee Titans  x  Titans  x,9,7,0,0.563,334,356,-22,6 - 2 - 0,3 - 5 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,1 - 3 - 0,1W,2 - 3 - 0
22,Atlanta Falcons  x  Falcons  x,10,6,0,0.625,353,315,38,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,1 - 3 - 0,1W,3 - 2 - 0
