,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5
13,New York Jets  Jets,7,9,0,0.43799999999999994,276,359,-83,5 - 3 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,3 - 1 - 0,2W,3 - 2 - 0
14,Oakland Raiders  Raiders,7,9,0,0.43799999999999994,313,419,-106,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,1L,1 - 4 - 0
15,Tampa Bay Buccaneers  Buccaneers,7,9,0,0.43799999999999994,458,449,9,2 - 6 - 0,5 - 3 - 0,2 - 4 - 0,0.33299999999999996,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,2L,3 - 2 - 0
16,Chicago Bears  Bears,8,8,0,0.5,280,298,-18,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,1 - 3 - 0,1W,3 - 2 - 0
17,Dallas Cowboys  Cowboys,8,8,0,0.5,434,321,113,5 - 3 - 0,3 - 5 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,1W,2 - 3 - 0
18,Pittsburgh Steelers  Steelers,8,8,0,0.5,289,303,-14,5 - 3 - 0,3 - 5 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,2 - 2 - 0,3L,2 - 3 - 0
19,Los Angeles Rams  Rams,9,7,0,0.563,394,364,30,5 - 3 - 0,4 - 4 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
20,Philadelphia Eagles  xz  Eagles  xz,9,7,0,0.563,385,354,31,5 - 3 - 0,4 - 4 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,2 - 2 - 0,4W,4 - 1 - 0
21,Tennessee Titans  x  Titans  x,9,7,0,0.563,402,331,71,4 - 4 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
22,Buffalo Bills  x  Bills  x,10,6,0,0.625,314,259,55,4 - 4 - 0,6 - 2 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
23,Houston Texans  xz  Texans  xz,10,6,0,0.625,378,385,-7,5 - 3 - 0,5 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0
24,Minnesota Vikings  x  Vikings  x,10,6,0,0.625,407,303,104,6 - 2 - 0,4 - 4 - 0,2 - 4 - 0,0.33299999999999996,7 - 5 - 0,0.583,3 - 1 - 0,2L,2 - 3 - 0
25,Seattle Seahawks  Seahawks,11,5,0,0.688,405,398,7,4 - 4 - 0,7 - 1 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 1 - 0,2L,2 - 3 - 0
26,Kansas City Chiefs  xz  Chiefs  xz,12,4,0,0.75,451,308,143,5 - 3 - 0,7 - 1 - 0,6 - 0 - 0,1.0,9 - 3 - 0,0.75,3 - 1 - 0,6W,5 - 0 - 0
27,New England Patriots  xz  Patriots  xz,12,4,0,0.75,420,225,195,6 - 2 - 0,6 - 2 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,4 - 0 - 0,1L,2 - 3 - 0
28,Green Bay Packers  xz  Packers  xz,13,3,0,0.813,376,313,63,7 - 1 - 0,6 - 2 - 0,6 - 0 - 0,1.0,10 - 2 - 0,0.833,3 - 1 - 0,5W,5 - 0 - 0
29,New Orleans Saints  xz  Saints  xz,13,3,0,0.813,458,341,117,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,4 - 0 - 0,3W,4 - 1 - 0
30,San Francisco 49ers  x*  49ers  x*,13,3,0,0.813,479,310,169,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,3 - 1 - 0,2W,3 - 2 - 0
31,Baltimore Ravens  xz*  Ravens  xz*,14,2,0,0.875,531,282,249,7 - 1 - 0,7 - 1 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,4 - 0 - 0,12W,5 - 0 - 0
