,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct.1,Non-Conf,Strk,Last 5
0,Cincinnati Bengals  Bengals,2,14,0,0.125,279,420,-141,2 - 6 - 0,0 - 8 - 0,1 - 5 - 0,0.16699999999999998,2 - 10 - 0,0.16699999999999998,0 - 4 - 0,1W,2 - 3 - 0
1,Detroit Lions  Lions,3,12,1,0.21899999999999997,341,423,-82,2 - 6 - 0,1 - 6 - 1,0 - 6 - 0,0.0,2 - 9 - 1,0.20800000000000002,1 - 3 - 0,9L,0 - 5 - 0
2,Washington Redskins  Redskins,3,13,0,0.188,266,435,-169,1 - 7 - 0,2 - 6 - 0,0 - 6 - 0,0.0,2 - 10 - 0,0.16699999999999998,1 - 3 - 0,4L,1 - 4 - 0
3,New York Giants  Giants,4,12,0,0.25,341,451,-110,2 - 6 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,3 - 9 - 0,0.25,1 - 3 - 0,1L,2 - 3 - 0
4,Arizona Cardinals  Cardinals,5,10,1,0.344,361,442,-81,2 - 5 - 1,3 - 5 - 0,1 - 5 - 0,0.16699999999999998,3 - 8 - 1,0.292,2 - 2 - 0,1L,2 - 3 - 0
5,Carolina Panthers  Panthers,5,11,0,0.313,340,470,-130,2 - 6 - 0,3 - 5 - 0,1 - 5 - 0,0.16699999999999998,2 - 10 - 0,0.16699999999999998,3 - 1 - 0,8L,0 - 5 - 0
6,Los Angeles Chargers  Chargers,5,11,0,0.313,337,345,-8,2 - 6 - 0,3 - 5 - 0,0 - 6 - 0,0.0,3 - 9 - 0,0.25,2 - 2 - 0,3L,1 - 4 - 0
7,Miami Dolphins  Dolphins,5,11,0,0.313,306,494,-188,3 - 5 - 0,2 - 6 - 0,2 - 4 - 0,0.33299999999999996,4 - 8 - 0,0.33299999999999996,1 - 3 - 0,2W,3 - 2 - 0
8,Cleveland Browns  Browns,6,10,0,0.375,335,393,-58,4 - 4 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,0 - 4 - 0,3L,1 - 4 - 0
9,Jacksonville Jaguars  Jaguars,6,10,0,0.375,300,397,-97,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.33299999999999996,6 - 6 - 0,0.5,0 - 4 - 0,1W,2 - 3 - 0
10,Atlanta Falcons  Falcons,7,9,0,0.43799999999999994,381,399,-18,3 - 5 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,1 - 3 - 0,4W,4 - 1 - 0
11,Denver Broncos  Broncos,7,9,0,0.43799999999999994,282,316,-34,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,6 - 6 - 0,0.5,1 - 3 - 0,2W,4 - 1 - 0
12,Indianapolis Colts  Colts,7,9,0,0.43799999999999994,361,373,-12,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.41700000000000004,2 - 2 - 0,1L,1 - 4 - 0
